run,accuracy,features,num_features,feature_set,raw_output,stability,feature_set_name
27,57,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     6   39    if income_Category == $120K +
     3   61    |  if marital_Status == Married;
     6   10    if income_Category == $80K - $120K;
     6    5    if income_Category == $60K - $80K
     4   16    |  if education_Level == High School;
     5  -18    if income_Category == $40K - $60K;
     6  -31    if income_Category == Less than $40K
     3  -18    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.99988;
     3  -43    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.99988;
19 4 education_Level, marital_Status, income_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
55 57
",56.49999999999999,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category, marital_Status"
28,69,"['Total_Trans_Amt', 'education_Level', 'income_Category']",3,"('Total_Trans_Amt', 'education_Level', 'income_Category')"," #rows  win
     9   22    if education_Level == Graduate
     3   28    |  if income_Category == $120K +;
     3    4    |  if income_Category == $40K - $60K;
     6   -4    if education_Level == Unknown
     3   12    |  if Total_Trans_Amt <= 3230;
     3  -21    |  if Total_Trans_Amt > 3230;
     6  -18    if education_Level == Uneducated;
     5  -25    if education_Level == High School;
19 3 education_Level, income_Category, Total_Trans_Amt
66 69
",56.666666666666664,"Total_Trans_Amt, education_Level, income_Category"
29,66,"['Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Months_on_book', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
    14   35    if card_Category == Silver
     8   41    |  if income_Category == $80K - $120K
     4   39    |  |  if education_Level == Graduate
     3   42    |  |  |  if marital_Status == Single;
    14  -44    if card_Category == Blue
     6  -21    |  if Months_on_book > 36
     3  -14    |  |  if income_Category == $120K +;
     8  -62    |  if Months_on_book <= 36;
19 5 education_Level, marital_Status, income_Category, card_Category, Months_on_book
74 66
",52.800000000000004,"Months_on_book, card_Category, education_Level, income_Category, marital_Status"
30,53,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')"," #rows  win
     9   24    if income_Category == $80K - $120K
     3   67    |  if education_Level == Unknown;
     4   20    |  if education_Level == Graduate
     3    4    |  |  if marital_Status == Single;
     3   23    if income_Category == $120K +;
     5   13    if income_Category == $60K - $80K;
     5  -15    if income_Category == $40K - $60K;
     5  -29    if income_Category == Less than $40K;
     3  -44    if income_Category == Unknown;
19 3 education_Level, marital_Status, income_Category
66 53
",72.0,"education_Level, income_Category, marital_Status"
31,65,"['Total_Trans_Amt', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status']",6,"('Total_Trans_Amt', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status')"," #rows  win
     9   28    if income_Category == $80K - $120K
     3   72    |  if Total_Trans_Amt > 4339;
     6    6    |  if Total_Trans_Amt <= 4339
     3   20    |  |  if education_Level == Graduate;
     3   16    if income_Category == Unknown;
     5    7    if income_Category == $60K - $80K
     4  -15    |  if card_Category == Blue
     3  -20    |  |  if marital_Status == Single;
     6  -38    if income_Category == $40K - $60K
     4  -45    |  if gender == F;
     5  -42    if income_Category == Less than $40K;
19 6 gender, education_Level, marital_Status, income_Category, card_Category, Total_Trans_Amt
67 65
",44.666666666666664,"Total_Trans_Amt, card_Category, education_Level, gender, income_Category, marital_Status"
32,66,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
    14   39    if card_Category == Silver
     7   61    |  if income_Category == $60K - $80K
     3   72    |  |  if marital_Status == Single;
     5   13    |  if income_Category == Less than $40K
     4   25    |  |  if attrition_Flag == Existing Customer;
    15  -40    if card_Category == Blue
     6  -28    |  if education_Level == High School;
     3  -51    |  if education_Level == Graduate;
19 5 attrition_Flag, education_Level, marital_Status, income_Category, card_Category
66 66
",53.6,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
33,25,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Relationship_Count', 'attrition_Flag', 'income_Category', 'marital_Status']",5,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Relationship_Count', 'attrition_Flag', 'income_Category', 'marital_Status')"," #rows  win
     7   51    if income_Category == $80K - $120K
     4   73    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.00011066;
     3   21    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.00011066;
     5    0    if income_Category == Unknown
     3  -34    |  if marital_Status == Married;
     4   -5    if income_Category == $60K - $80K
     3   13    |  if marital_Status == Single;
     6  -27    if income_Category == $40K - $60K
     3  -12    |  if Total_Relationship_Count <= 5;
     3  -42    |  if Total_Relationship_Count > 5;
     6  -42    if income_Category == Less than $40K
     5  -51    |  if attrition_Flag == Existing Customer;
19 5 attrition_Flag, marital_Status, income_Category, Total_Relationship_Count, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1
63 25
",33.2,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Relationship_Count, attrition_Flag, income_Category, marital_Status"
34,69,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
    22   11    if Avg_Utilization_Ratio > 0
    15   24    |  if Avg_Utilization_Ratio <= 0.256
     5   35    |  |  if education_Level == Graduate
     3   47    |  |  |  if income_Category == $80K - $120K;
     4   24    |  |  if education_Level == High School;
     7  -16    |  if Avg_Utilization_Ratio > 0.256
     4  -11    |  |  if marital_Status == Married;
     3  -24    |  |  if marital_Status == Single;
     8  -30    if Avg_Utilization_Ratio <= 0
     3  -24    |  if income_Category == Unknown;
19 4 education_Level, marital_Status, income_Category, Avg_Utilization_Ratio
56 69
",64.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
35,2,"['Customer_Age', 'card_Category', 'education_Level']",3,"('Customer_Age', 'card_Category', 'education_Level')"," #rows  win
     4   16    if education_Level == Unknown;
    14  -11    if education_Level == Graduate
     4    3    |  if card_Category == Silver;
     9  -26    |  if card_Category == Blue
     4   -5    |  |  if Customer_Age > 46;
     5  -43    |  |  if Customer_Age <= 46;
     6  -20    if education_Level == Uneducated;
19 3 Customer_Age, education_Level, card_Category
77 2
",39.333333333333336,"Customer_Age, card_Category, education_Level"
36,69,"['attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",4,"('attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')"," #rows  win
     9   58    if card_Category == Silver
     3   76    |  if income_Category == Unknown;
     3   55    |  if income_Category == $80K - $120K;
    21  -25    if card_Category == Blue
     3   -2    |  if income_Category == $120K +;
     5  -29    |  if income_Category == Less than $40K
     3  -40    |  |  if marital_Status == Married;
     3  -31    |  if income_Category == $40K - $60K;
     5  -34    |  if income_Category == $80K - $120K
     4  -23    |  |  if attrition_Flag == Existing Customer
     3  -20    |  |  |  if marital_Status == Single;
     3  -58    |  if income_Category == $60K - $80K;
19 4 attrition_Flag, marital_Status, income_Category, card_Category
73 69
",48.5,"attrition_Flag, card_Category, income_Category, marital_Status"
37,31,"['CLIENTNUM', 'card_Category', 'income_Category']",3,"('CLIENTNUM', 'card_Category', 'income_Category')"," #rows  win
    16   17    if card_Category == Silver
     4   17    |  if income_Category == $40K - $60K;
     3   10    |  if income_Category == $60K - $80K;
     3   -6    |  if income_Category == Less than $40K;
    12  -25    if card_Category == Blue
     6  -13    |  if income_Category == $80K - $120K
     3   18    |  |  if CLIENTNUM <= 714403983;
     3  -44    |  |  if CLIENTNUM > 714403983;
19 3 CLIENTNUM, income_Category, card_Category
80 31
",45.333333333333336,"CLIENTNUM, card_Category, income_Category"
38,64,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'education_Level', 'income_Category')"," #rows  win
     8   34    if Avg_Utilization_Ratio <= 0.085
     3   91    |  if education_Level == Graduate;
     3   49    |  if education_Level == High School;
    22  -12    if Avg_Utilization_Ratio > 0.085
     6   14    |  if Total_Trans_Ct > 86;
    16  -22    |  if Total_Trans_Ct <= 86
     3  -13    |  |  if income_Category == Less than $40K;
     6  -17    |  |  if income_Category == $80K - $120K
     3   -8    |  |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.99985;
     3  -25    |  |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.99985;
     3  -33    |  |  if income_Category == $40K - $60K;
19 5 education_Level, income_Category, Total_Trans_Ct, Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
66 64
",44.8,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Trans_Ct, education_Level, income_Category"
39,72,"['Avg_Utilization_Ratio', 'Months_on_book', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Months_on_book', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
    26   11    if Months_on_book <= 41
    14   38    |  if Avg_Utilization_Ratio <= 0.081
     7   49    |  |  if income_Category == $80K - $120K
     3   43    |  |  |  if marital_Status == Single;
    12  -21    |  if Avg_Utilization_Ratio > 0.081
     4  -13    |  |  if education_Level == Uneducated;
     3  -33    |  |  if education_Level == Unknown;
     4  -71    if Months_on_book > 41;
19 5 education_Level, marital_Status, income_Category, Months_on_book, Avg_Utilization_Ratio
68 72
",53.2,"Avg_Utilization_Ratio, Months_on_book, education_Level, income_Category, marital_Status"
40,51,"['income_Category', 'marital_Status']",2,"('income_Category', 'marital_Status')"," #rows  win
     5   62    if income_Category == $120K +;
     6   14    if income_Category == $80K - $120K
     3   51    |  if marital_Status == Married;
     6    3    if income_Category == $60K - $80K
     3   15    |  if marital_Status == Single;
     4   -9    if income_Category == Unknown;
     7  -58    if income_Category == Less than $40K;
19 2 marital_Status, income_Category
66 51
",71.0,"income_Category, marital_Status"
41,69,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     5   40    if card_Category == Gold;
    11   31    if card_Category == Silver
     5   60    |  if income_Category == $80K - $120K
     3   58    |  |  if education_Level == High School;
    14  -39    if card_Category == Blue
     8  -48    |  if marital_Status == Single;
     5  -49    |  if marital_Status == Married;
19 4 education_Level, marital_Status, income_Category, card_Category
75 69
",63.5,"card_Category, education_Level, income_Category, marital_Status"
42,42,"['Avg_Utilization_Ratio', 'Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'marital_Status']",7,"('Avg_Utilization_Ratio', 'Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'marital_Status')"," #rows  win
     3   70    if card_Category == Silver;
    27   -7    if card_Category == Blue
    22    1    |  if Customer_Age > 39
    13   16    |  |  if Avg_Utilization_Ratio <= 0.191
     4   51    |  |  |  if Total_Trans_Ct <= 38
     3   53    |  |  |  |  if marital_Status == Married;
     9    0    |  |  |  if Total_Trans_Ct > 38
     6   10    |  |  |  |  if education_Level == High School
     4    4    |  |  |  |  |  if marital_Status == Married;
     9  -19    |  |  if Avg_Utilization_Ratio > 0.191
     3   -2    |  |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.9998;
     6  -28    |  |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.9998;
     5  -49    |  if Customer_Age <= 39
     3  -47    |  |  if marital_Status == Single;
19 7 Customer_Age, education_Level, marital_Status, card_Category, Total_Trans_Ct, Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
68 42
",33.42857142857143,"Avg_Utilization_Ratio, Customer_Age, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Trans_Ct, card_Category, education_Level, marital_Status"
43,74,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')"," #rows  win
    19   21    if Avg_Utilization_Ratio > 0
    10   54    |  if Avg_Utilization_Ratio <= 0.175
     6   67    |  |  if income_Category == $80K - $120K
     3   85    |  |  |  if Avg_Utilization_Ratio <= 0.09;
     3   49    |  |  |  if Avg_Utilization_Ratio > 0.09;
     9  -14    |  if Avg_Utilization_Ratio > 0.175
     3    5    |  |  if education_Level == Graduate;
    11  -37    if Avg_Utilization_Ratio <= 0
     9  -48    |  if card_Category == Blue
     3  -29    |  |  if education_Level == Graduate;
     3  -56    |  |  if education_Level == Post-Graduate;
19 4 education_Level, income_Category, card_Category, Avg_Utilization_Ratio
65 74
",60.0,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
44,13,"['Months_Inactive_12_mon', 'income_Category', 'marital_Status']",3,"('Months_Inactive_12_mon', 'income_Category', 'marital_Status')"," #rows  win
    11   38    if income_Category == $80K - $120K
     4   77    |  if Months_Inactive_12_mon <= 1;
     7   15    |  if Months_Inactive_12_mon > 1;
     5   -6    if income_Category == $60K - $80K
     3  -29    |  if marital_Status == Single;
     5  -28    if income_Category == $40K - $60K;
     3  -34    if income_Category == Less than $40K;
     5  -41    if income_Category == Unknown;
19 3 marital_Status, income_Category, Months_Inactive_12_mon
71 13
",48.0,"Months_Inactive_12_mon, income_Category, marital_Status"
45,66,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')"," #rows  win
    19   17    if Avg_Utilization_Ratio <= 0.165
     4   61    |  if education_Level == College;
     3   18    |  if education_Level == Graduate;
     4   14    |  if education_Level == Uneducated;
     3  -26    |  if education_Level == High School;
    11  -30    if Avg_Utilization_Ratio > 0.165
     3  -18    |  if education_Level == High School;
     4  -33    |  if education_Level == Graduate;
19 2 education_Level, Avg_Utilization_Ratio
50 66
",56.99999999999999,"Avg_Utilization_Ratio, education_Level"
46,69,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')"," #rows  win
    21   19    if Avg_Utilization_Ratio > 0
     4   81    |  if Avg_Utilization_Ratio <= 0.071;
    17    4    |  if Avg_Utilization_Ratio > 0.071
     3   27    |  |  if income_Category == $60K - $80K;
     4   11    |  |  if income_Category == $80K - $120K;
     3    7    |  |  if income_Category == Unknown;
     3  -14    |  |  if income_Category == Less than $40K;
     3  -25    |  |  if income_Category == $40K - $60K;
     9  -45    if Avg_Utilization_Ratio <= 0
     3  -57    |  if education_Level == Unknown;
19 3 education_Level, income_Category, Avg_Utilization_Ratio
51 69
",67.33333333333333,"Avg_Utilization_Ratio, education_Level, income_Category"
47,67,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category']",3,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category')"," #rows  win
    18   17    if Avg_Utilization_Ratio > 0
     7   54    |  if Avg_Utilization_Ratio <= 0.187
     4   74    |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.9998;
     3   28    |  |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.9998;
    11   -7    |  if Avg_Utilization_Ratio > 0.187
     3   -1    |  |  if income_Category == Unknown;
     3  -17    |  |  if income_Category == Less than $40K;
    12  -25    if Avg_Utilization_Ratio <= 0
     3  -25    |  if income_Category == Unknown;
19 3 income_Category, Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
71 67
",46.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, income_Category"
48,61,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')"," #rows  win
     6   51    if income_Category == $120K +;
     8   24    if income_Category == $80K - $120K
     4   62    |  if Avg_Utilization_Ratio <= 0.074;
     4  -14    |  if Avg_Utilization_Ratio > 0.074;
     4  -11    if income_Category == $60K - $80K
     3    1    |  if marital_Status == Married;
     5  -30    if income_Category == $40K - $60K
     3  -17    |  if education_Level == Graduate;
     6  -42    if income_Category == Less than $40K
     3  -27    |  if Avg_Utilization_Ratio > 0;
     3  -58    |  if Avg_Utilization_Ratio <= 0;
19 4 education_Level, marital_Status, income_Category, Avg_Utilization_Ratio
67 61
",64.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
49,69,"['Total_Trans_Ct', 'education_Level', 'income_Category']",3,"('Total_Trans_Ct', 'education_Level', 'income_Category')"," #rows  win
    21   25    if Total_Trans_Ct > 68
     6   70    |  if income_Category == $80K - $120K
     3   86    |  |  if education_Level == Graduate;
     3   59    |  if income_Category == Unknown;
     3    3    |  if income_Category == $40K - $60K;
     3   -2    |  if income_Category == $120K +;
     5  -31    |  if income_Category == Less than $40K
     3  -22    |  |  if education_Level == Graduate;
     9  -60    if Total_Trans_Ct <= 68
     6  -44    |  if Total_Trans_Ct > 45;
     3  -93    |  if Total_Trans_Ct <= 45;
19 3 education_Level, income_Category, Total_Trans_Ct
70 69
",57.99999999999999,"Total_Trans_Ct, education_Level, income_Category"
50,50,"['Total_Trans_Ct', 'education_Level', 'income_Category']",3,"('Total_Trans_Ct', 'education_Level', 'income_Category')"," #rows  win
    14   33    if Total_Trans_Ct > 92
     3   54    |  if education_Level == Uneducated;
     4    9    |  if education_Level == Post-Graduate;
     3    0    |  if education_Level == High School;
    16  -29    if Total_Trans_Ct <= 92
     3  -30    |  if income_Category == Less than $40K;
     7  -32    |  if income_Category == Unknown;
     3  -47    |  if income_Category == $40K - $60K;
19 3 education_Level, income_Category, Total_Trans_Ct
69 50
",57.99999999999999,"Total_Trans_Ct, education_Level, income_Category"
