run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,50,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
2,67,"['attrition_Flag', 'card_Category', 'income_Category']",3,"('attrition_Flag', 'card_Category', 'income_Category')",48.0,"attrition_Flag, card_Category, income_Category"
3,66,"['Avg_Utilization_Ratio', 'card_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'card_Category', 'marital_Status')",47.333333333333336,"Avg_Utilization_Ratio, card_Category, marital_Status"
4,17,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
5,64,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category', 'marital_Status')",46.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category, marital_Status"
6,41,"['Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category']",4,"('Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category')",36.0,"Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category"
7,53,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",64.66666666666667,"Avg_Utilization_Ratio, education_Level, income_Category"
8,70,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'income_Category')",51.0,"Avg_Utilization_Ratio, Total_Trans_Amt, education_Level, income_Category"
9,60,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",63.33333333333333,"card_Category, education_Level, income_Category"
10,56,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category']",3,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category')",59.333333333333336,"Avg_Utilization_Ratio, card_Category, income_Category"
11,60,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'marital_Status')",31.33333333333333,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, attrition_Flag, education_Level, marital_Status"
12,38,"['CLIENTNUM', 'education_Level', 'gender', 'income_Category']",4,"('CLIENTNUM', 'education_Level', 'gender', 'income_Category')",40.0,"CLIENTNUM, education_Level, gender, income_Category"
13,66,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",63.33333333333333,"card_Category, education_Level, income_Category"
14,63,"['Avg_Utilization_Ratio', 'Total_Trans_Ct', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Ct', 'education_Level', 'income_Category')",49.5,"Avg_Utilization_Ratio, Total_Trans_Ct, education_Level, income_Category"
15,35,"['Months_on_book', 'Total_Relationship_Count', 'Total_Trans_Amt', 'card_Category', 'income_Category']",5,"('Months_on_book', 'Total_Relationship_Count', 'Total_Trans_Amt', 'card_Category', 'income_Category')",30.8,"Months_on_book, Total_Relationship_Count, Total_Trans_Amt, card_Category, income_Category"
16,62,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'income_Category', 'marital_Status')",47.0,"Avg_Utilization_Ratio, Total_Relationship_Count, income_Category, marital_Status"
17,42,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'card_Category', 'education_Level', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'card_Category', 'education_Level', 'marital_Status')",42.8,"Avg_Utilization_Ratio, Total_Trans_Amt, card_Category, education_Level, marital_Status"
18,53,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",72.0,"education_Level, income_Category"
19,81,"['Customer_Age', 'card_Category', 'income_Category']",3,"('Customer_Age', 'card_Category', 'income_Category')",47.333333333333336,"Customer_Age, card_Category, income_Category"
20,53,"['Avg_Utilization_Ratio', 'Customer_Age', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'gender', 'marital_Status']",7,"('Avg_Utilization_Ratio', 'Customer_Age', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'gender', 'marital_Status')",33.714285714285715,"Avg_Utilization_Ratio, Customer_Age, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, gender, marital_Status"
21,33,"['Customer_Age', 'Total_Relationship_Count', 'gender', 'income_Category', 'marital_Status']",5,"('Customer_Age', 'Total_Relationship_Count', 'gender', 'income_Category', 'marital_Status')",32.0,"Customer_Age, Total_Relationship_Count, gender, income_Category, marital_Status"
22,70,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
23,66,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",59.0,"card_Category, education_Level, income_Category, marital_Status"
24,61,"['Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",51.2,"Avg_Utilization_Ratio, attrition_Flag, education_Level, income_Category, marital_Status"
25,46,"['Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'attrition_Flag', 'card_Category', 'education_Level', 'income_Category')",51.2,"Avg_Utilization_Ratio, attrition_Flag, card_Category, education_Level, income_Category"
26,41,"['CLIENTNUM', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",5,"('CLIENTNUM', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",33.2,"CLIENTNUM, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
27,43,"['Avg_Utilization_Ratio', 'education_Level', 'gender', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'gender', 'marital_Status')",41.5,"Avg_Utilization_Ratio, education_Level, gender, marital_Status"
28,42,"['Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'attrition_Flag', 'education_Level', 'income_Category']",5,"('Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'attrition_Flag', 'education_Level', 'income_Category')",34.8,"Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, attrition_Flag, education_Level, income_Category"
29,64,"['CLIENTNUM', 'Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category']",5,"('CLIENTNUM', 'Customer_Age', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category')",32.0,"CLIENTNUM, Customer_Age, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category"
30,51,"['Customer_Age', 'education_Level', 'marital_Status']",3,"('Customer_Age', 'education_Level', 'marital_Status')",40.666666666666664,"Customer_Age, education_Level, marital_Status"
31,17,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",59.0,"card_Category, education_Level, income_Category, marital_Status"
32,66,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level']",3,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level')",40.666666666666664,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level"
33,18,"['Months_on_book', 'Total_Trans_Amt', 'income_Category', 'marital_Status']",4,"('Months_on_book', 'Total_Trans_Amt', 'income_Category', 'marital_Status')",36.0,"Months_on_book, Total_Trans_Amt, income_Category, marital_Status"
34,48,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",56.00000000000001,"Avg_Utilization_Ratio, education_Level"
35,14,"['Contacts_Count_12_mon', 'Customer_Age', 'income_Category']",3,"('Contacts_Count_12_mon', 'Customer_Age', 'income_Category')",32.666666666666664,"Contacts_Count_12_mon, Customer_Age, income_Category"
36,58,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status')",56.00000000000001,"Avg_Utilization_Ratio, card_Category, income_Category, marital_Status"
37,58,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",57.2,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category, marital_Status"
38,69,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'Total_Trans_Amt', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'Total_Trans_Amt', 'education_Level', 'income_Category')",42.8,"Avg_Utilization_Ratio, Total_Relationship_Count, Total_Trans_Amt, education_Level, income_Category"
39,66,"['Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",51.2,"Avg_Utilization_Ratio, attrition_Flag, education_Level, income_Category, marital_Status"
40,44,"['card_Category', 'income_Category', 'marital_Status']",3,"('card_Category', 'income_Category', 'marital_Status')",57.99999999999999,"card_Category, income_Category, marital_Status"
41,67,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category', 'marital_Status')",56.00000000000001,"Avg_Utilization_Ratio, card_Category, income_Category, marital_Status"
42,98,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')",41.666666666666664,"Avg_Utilization_Ratio, Total_Relationship_Count, attrition_Flag, card_Category, income_Category, marital_Status"
43,74,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",56.00000000000001,"Avg_Utilization_Ratio, education_Level"
44,63,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",51.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
45,45,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
46,64,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",64.66666666666667,"Avg_Utilization_Ratio, education_Level, income_Category"
47,68,"['CLIENTNUM', 'Customer_Age', 'Months_Inactive_12_mon', 'attrition_Flag', 'card_Category', 'income_Category']",6,"('CLIENTNUM', 'Customer_Age', 'Months_Inactive_12_mon', 'attrition_Flag', 'card_Category', 'income_Category')",28.000000000000004,"CLIENTNUM, Customer_Age, Months_Inactive_12_mon, attrition_Flag, card_Category, income_Category"
48,63,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",64.0,"card_Category, income_Category"
49,58,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",64.66666666666667,"Avg_Utilization_Ratio, education_Level, income_Category"
50,62,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'income_Category')",47.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, income_Category"
