run,rule,rows,win,depth,rule_key
1,income_Category == $80K - $120K,11,34,1,income_Category == $80K - $120K
1,education_Level == High School,4,58,1,education_Level == High School
1,marital_Status == Married;,3,70,1,marital_Status == Married
1,education_Level == College;,3,42,1,education_Level == College
1,income_Category == Less than $40K,6,-22,1,income_Category == Less than $40K
1,income_Category == $40K - $60K;,5,-28,1,income_Category == $40K - $60K
1,income_Category == $60K - $80K;,4,-43,1,income_Category == $60K - $80K
2,card_Category == Silver;,10,36,1,card_Category == Silver
2,card_Category == Blue,19,-22,1,card_Category == Blue
2,gender == M,9,7,1,gender == M
2,income_Category == $80K - $120K;,3,35,1,income_Category == $80K - $120K
3,income_Category == $60K - $80K;,4,45,1,income_Category == $60K - $80K
3,income_Category == Less than $40K;,3,8,1,income_Category == Less than $40K
4,income_Category == $80K - $120K,9,16,1,income_Category == $80K - $120K
4,marital_Status == Single;,3,19,1,marital_Status == Single
4,marital_Status == Married;,4,0,1,marital_Status == Married
4,income_Category == Unknown;,4,2,1,income_Category == Unknown
4,income_Category == Less than $40K,8,-18,1,income_Category == Less than $40K
4,education_Level == Graduate;,3,1,1,education_Level == Graduate
4,income_Category == $40K - $60K;,6,-32,1,income_Category == $40K - $60K
5,income_Category == $80K - $120K;,5,38,1,income_Category == $80K - $120K
5,income_Category == $60K - $80K;,4,-3,1,income_Category == $60K - $80K
5,income_Category == $40K - $60K;,8,-5,1,income_Category == $40K - $60K
5,income_Category == Less than $40K,9,-13,1,income_Category == Less than $40K
6,income_Category == $60K - $80K,5,18,1,income_Category == $60K - $80K
6,education_Level == High School;,3,24,1,education_Level == High School
6,education_Level == Uneducated;,3,3,1,education_Level == Uneducated
6,education_Level == College,6,0,1,education_Level == College
6,marital_Status == Single;,4,-3,1,marital_Status == Single
6,education_Level == Unknown,4,-11,1,education_Level == Unknown
6,attrition_Flag == Existing Customer;,3,-9,1,attrition_Flag == Existing Customer
7,income_Category == $80K - $120K,8,35,1,income_Category == $80K - $120K
7,income_Category == $120K +,4,12,1,income_Category == $120K +
7,education_Level == High School;,3,12,1,education_Level == High School
7,income_Category == $60K - $80K;,6,11,1,income_Category == $60K - $80K
7,income_Category == Unknown;,3,-16,1,income_Category == Unknown
7,income_Category == Less than $40K;,5,-38,1,income_Category == Less than $40K
7,income_Category == $40K - $60K;,4,-41,1,income_Category == $40K - $60K
8,card_Category == Silver;,6,72,1,card_Category == Silver
8,card_Category == Blue,24,-18,1,card_Category == Blue
8,marital_Status == Married;,6,-4,1,marital_Status == Married
8,marital_Status == Single,8,-11,1,marital_Status == Single
8,education_Level == Graduate;,3,-5,1,education_Level == Graduate
8,marital_Status == Married;,3,-31,1,marital_Status == Married
9,marital_Status == Married;,3,85,1,marital_Status == Married
9,education_Level == Unknown;,3,-12,1,education_Level == Unknown
10,income_Category == $120K +,4,51,1,income_Category == $120K +
10,education_Level == High School;,3,50,1,education_Level == High School
10,income_Category == $60K - $80K,10,16,1,income_Category == $60K - $80K
10,education_Level == Graduate;,4,34,1,education_Level == Graduate
10,education_Level == High School;,3,-7,1,education_Level == High School
10,income_Category == $80K - $120K;,5,7,1,income_Category == $80K - $120K
10,income_Category == Less than $40K,6,-35,1,income_Category == Less than $40K
10,education_Level == Graduate,4,-39,1,education_Level == Graduate
10,marital_Status == Married;,3,-41,1,marital_Status == Married
10,income_Category == $40K - $60K;,3,-46,1,income_Category == $40K - $60K
11,education_Level == Uneducated,6,18,1,education_Level == Uneducated
11,marital_Status == Married;,3,23,1,marital_Status == Married
11,education_Level == Unknown,5,12,1,education_Level == Unknown
11,marital_Status == Single;,3,-3,1,marital_Status == Single
11,education_Level == College;,4,1,1,education_Level == College
11,education_Level == Post-Graduate;,3,-6,1,education_Level == Post-Graduate
11,education_Level == Graduate,7,-10,1,education_Level == Graduate
11,marital_Status == Married;,3,-19,1,marital_Status == Married
11,education_Level == High School;,4,-18,1,education_Level == High School
12,income_Category == Unknown,4,39,1,income_Category == Unknown
12,education_Level == Graduate;,3,19,1,education_Level == Graduate
12,income_Category == $120K +,5,25,1,income_Category == $120K +
12,education_Level == Graduate;,3,11,1,education_Level == Graduate
12,income_Category == $40K - $60K;,3,-3,1,income_Category == $40K - $60K
12,income_Category == $60K - $80K;,4,-8,1,income_Category == $60K - $80K
12,income_Category == $80K - $120K,9,-10,1,income_Category == $80K - $120K
12,education_Level == Graduate;,4,22,1,education_Level == Graduate
12,income_Category == Less than $40K,5,-30,1,income_Category == Less than $40K
12,education_Level == Graduate;,3,-42,1,education_Level == Graduate
13,education_Level == Graduate;,3,38,1,education_Level == Graduate
13,education_Level == Uneducated;,4,29,1,education_Level == Uneducated
13,education_Level == High School;,3,-1,1,education_Level == High School
13,card_Category == Silver,8,1,1,card_Category == Silver
13,card_Category == Blue,11,-31,1,card_Category == Blue
14,education_Level == Graduate;,3,-1,1,education_Level == Graduate
14,education_Level == High School;,3,-7,1,education_Level == High School
14,education_Level == Uneducated;,3,-12,1,education_Level == Uneducated
15,income_Category == $120K +;,4,21,1,income_Category == $120K +
15,income_Category == $80K - $120K,13,16,1,income_Category == $80K - $120K
15,card_Category == Blue,11,5,1,card_Category == Blue
15,marital_Status == Married;,3,-4,1,marital_Status == Married
15,income_Category == $40K - $60K;,3,-8,1,income_Category == $40K - $60K
15,income_Category == Less than $40K,8,-33,1,income_Category == Less than $40K
16,income_Category == $60K - $80K;,4,-5,1,income_Category == $60K - $80K
16,income_Category == Less than $40K,7,-29,1,income_Category == Less than $40K
16,education_Level == Graduate,4,-36,1,education_Level == Graduate
16,card_Category == Blue;,3,-42,1,card_Category == Blue
16,income_Category == $40K - $60K;,6,-41,1,income_Category == $40K - $60K
17,income_Category == $80K - $120K,6,37,1,income_Category == $80K - $120K
17,income_Category == $60K - $80K,8,8,1,income_Category == $60K - $80K
17,education_Level == High School;,3,21,1,education_Level == High School
17,income_Category == $40K - $60K,7,-6,1,income_Category == $40K - $60K
17,gender == M;,3,3,1,gender == M
17,income_Category == Less than $40K;,7,-28,1,income_Category == Less than $40K
18,income_Category == $120K +,8,48,1,income_Category == $120K +
18,attrition_Flag == Existing Customer,7,62,1,attrition_Flag == Existing Customer
18,education_Level == High School;,3,45,1,education_Level == High School
18,income_Category == $80K - $120K,7,0,1,income_Category == $80K - $120K
18,education_Level == High School;,3,-4,1,education_Level == High School
18,education_Level == Uneducated;,3,-24,1,education_Level == Uneducated
18,income_Category == Less than $40K,6,-25,1,income_Category == Less than $40K
18,card_Category == Blue;,4,-45,1,card_Category == Blue
18,income_Category == $40K - $60K,5,-48,1,income_Category == $40K - $60K
18,education_Level == Graduate;,3,-49,1,education_Level == Graduate
19,income_Category == $120K +;,6,48,1,income_Category == $120K +
19,income_Category == $60K - $80K;,6,13,1,income_Category == $60K - $80K
19,income_Category == $40K - $60K,6,-11,1,income_Category == $40K - $60K
19,card_Category == Blue,5,-20,1,card_Category == Blue
19,marital_Status == Married;,3,-27,1,marital_Status == Married
19,income_Category == Unknown;,4,-23,1,income_Category == Unknown
19,income_Category == Less than $40K;,6,-26,1,income_Category == Less than $40K
20,income_Category == $80K - $120K;,4,70,1,income_Category == $80K - $120K
20,income_Category == $120K +;,5,47,1,income_Category == $120K +
20,income_Category == $80K - $120K;,5,-8,1,income_Category == $80K - $120K
20,income_Category == Less than $40K,4,-97,1,income_Category == Less than $40K
20,education_Level == Graduate;,3,-83,1,education_Level == Graduate
20,income_Category == $40K - $60K;,3,-107,1,income_Category == $40K - $60K
21,education_Level == High School,4,58,1,education_Level == High School
21,marital_Status == Married;,3,69,1,marital_Status == Married
21,education_Level == Uneducated;,5,53,1,education_Level == Uneducated
21,income_Category == Less than $40K;,4,-53,1,income_Category == Less than $40K
22,income_Category == $80K - $120K,7,21,1,income_Category == $80K - $120K
22,education_Level == College;,3,7,1,education_Level == College
22,income_Category == $60K - $80K;,7,9,1,income_Category == $60K - $80K
22,income_Category == $40K - $60K,6,-23,1,income_Category == $40K - $60K
22,income_Category == Less than $40K;,6,-27,1,income_Category == Less than $40K
23,income_Category == $80K - $120K,10,17,1,income_Category == $80K - $120K
23,education_Level == High School;,4,40,1,education_Level == High School
23,education_Level == Unknown;,3,37,1,education_Level == Unknown
23,income_Category == $120K +;,4,4,1,income_Category == $120K +
23,income_Category == $60K - $80K;,3,-16,1,income_Category == $60K - $80K
23,income_Category == $40K - $60K;,6,-19,1,income_Category == $40K - $60K
23,income_Category == Less than $40K,5,-43,1,income_Category == Less than $40K
23,card_Category == Blue;,3,-65,1,card_Category == Blue
24,income_Category == $40K - $60K,8,18,1,income_Category == $40K - $60K
24,marital_Status == Single;,4,7,1,marital_Status == Single
24,income_Category == $80K - $120K,9,-4,1,income_Category == $80K - $120K
24,income_Category == Less than $40K,7,-19,1,income_Category == Less than $40K
24,attrition_Flag == Existing Customer,6,-13,1,attrition_Flag == Existing Customer
24,education_Level == High School;,4,-17,1,education_Level == High School
25,income_Category == $120K +;,3,82,1,income_Category == $120K +
25,income_Category == $80K - $120K,10,12,1,income_Category == $80K - $120K
25,education_Level == High School;,4,19,1,education_Level == High School
25,education_Level == Graduate;,3,11,1,education_Level == Graduate
25,income_Category == $60K - $80K,5,-18,1,income_Category == $60K - $80K
25,card_Category == Blue;,4,-29,1,card_Category == Blue
25,income_Category == Less than $40K,7,-25,1,income_Category == Less than $40K
25,education_Level == Graduate;,4,-28,1,education_Level == Graduate
25,income_Category == $40K - $60K;,3,-26,1,income_Category == $40K - $60K
26,card_Category == Blue,28,-6,1,card_Category == Blue
26,marital_Status == Married,15,4,1,marital_Status == Married
26,education_Level == Unknown;,3,7,1,education_Level == Unknown
26,education_Level == College;,5,0,1,education_Level == College
26,education_Level == Graduate;,4,0,1,education_Level == Graduate
26,marital_Status == Single,9,-18,1,marital_Status == Single
26,income_Category == Less than $40K,4,-33,1,income_Category == Less than $40K
26,attrition_Flag == Existing Customer;,3,-27,1,attrition_Flag == Existing Customer
27,education_Level == Uneducated,5,-2,1,education_Level == Uneducated
27,marital_Status == Married;,3,3,1,marital_Status == Married
27,education_Level == Graduate,8,-6,1,education_Level == Graduate
27,income_Category == Less than $40K;,3,10,1,income_Category == Less than $40K
27,education_Level == Unknown,6,-16,1,education_Level == Unknown
27,marital_Status == Married;,3,-24,1,marital_Status == Married
28,income_Category == $120K +,10,30,1,income_Category == $120K +
28,education_Level == Graduate;,3,39,1,education_Level == Graduate
28,education_Level == Uneducated;,3,24,1,education_Level == Uneducated
28,income_Category == $80K - $120K;,3,2,1,income_Category == $80K - $120K
28,income_Category == $40K - $60K,6,-11,1,income_Category == $40K - $60K
28,card_Category == Blue,5,-19,1,card_Category == Blue
28,gender == M;,4,-15,1,gender == M
28,income_Category == Less than $40K,7,-25,1,income_Category == Less than $40K
28,income_Category == Unknown;,3,-36,1,income_Category == Unknown
29,card_Category == Silver;,6,58,1,card_Category == Silver
29,card_Category == Blue,23,-17,1,card_Category == Blue
29,income_Category == $80K - $120K,5,-8,1,income_Category == $80K - $120K
29,marital_Status == Married;,3,-4,1,marital_Status == Married
29,income_Category == Less than $40K;,3,-9,1,income_Category == Less than $40K
29,income_Category == Unknown;,3,-13,1,income_Category == Unknown
29,attrition_Flag == Existing Customer;,4,-35,1,attrition_Flag == Existing Customer
30,education_Level == High School,11,22,1,education_Level == High School
30,income_Category == $80K - $120K,5,25,1,income_Category == $80K - $120K
30,marital_Status == Single;,3,44,1,marital_Status == Single
30,education_Level == Unknown;,5,-2,1,education_Level == Unknown
30,education_Level == Graduate,6,-13,1,education_Level == Graduate
30,gender == M;,3,4,1,gender == M
30,gender == F;,3,-32,1,gender == F
30,education_Level == Uneducated;,3,-14,1,education_Level == Uneducated
31,income_Category == $80K - $120K;,6,51,1,income_Category == $80K - $120K
31,income_Category == $120K +,6,10,1,income_Category == $120K +
31,income_Category == $60K - $80K,7,-8,1,income_Category == $60K - $80K
31,education_Level == Uneducated;,3,-41,1,education_Level == Uneducated
31,income_Category == Less than $40K,9,-30,1,income_Category == Less than $40K
31,education_Level == Graduate;,3,-15,1,education_Level == Graduate
32,card_Category == Silver;,3,64,1,card_Category == Silver
32,card_Category == Blue,27,-7,1,card_Category == Blue
32,education_Level == Graduate;,6,3,1,education_Level == Graduate
32,education_Level == High School;,5,-3,1,education_Level == High School
32,education_Level == Unknown,6,-10,1,education_Level == Unknown
32,marital_Status == Married;,3,-5,1,marital_Status == Married
33,education_Level == High School,11,38,1,education_Level == High School
33,income_Category == $80K - $120K,5,80,1,income_Category == $80K - $120K
33,marital_Status == Unknown;,3,84,1,marital_Status == Unknown
33,education_Level == College;,3,15,1,education_Level == College
33,education_Level == Unknown;,4,-30,1,education_Level == Unknown
33,education_Level == Graduate,6,-34,1,education_Level == Graduate
34,card_Category == Blue,27,-4,1,card_Category == Blue
34,income_Category == $60K - $80K;,3,9,1,income_Category == $60K - $80K
34,income_Category == Less than $40K;,4,-12,1,income_Category == Less than $40K
34,income_Category == $60K - $80K;,3,-13,1,income_Category == $60K - $80K
34,income_Category == Less than $40K,4,-34,1,income_Category == Less than $40K
34,attrition_Flag == Attrited Customer;,3,-34,1,attrition_Flag == Attrited Customer
35,income_Category == $120K +;,4,51,1,income_Category == $120K +
35,income_Category == $80K - $120K;,4,20,1,income_Category == $80K - $120K
35,income_Category == $40K - $60K;,4,-3,1,income_Category == $40K - $60K
35,income_Category == Unknown,6,-9,1,income_Category == Unknown
35,marital_Status == Married;,4,-19,1,marital_Status == Married
35,income_Category == $60K - $80K,7,-10,1,income_Category == $60K - $80K
35,education_Level == Unknown;,3,-21,1,education_Level == Unknown
35,income_Category == Less than $40K,5,-29,1,income_Category == Less than $40K
35,attrition_Flag == Existing Customer;,3,-10,1,attrition_Flag == Existing Customer
36,income_Category == $120K +;,3,67,1,income_Category == $120K +
36,income_Category == $80K - $120K,7,54,1,income_Category == $80K - $120K
36,education_Level == High School;,3,56,1,education_Level == High School
36,income_Category == $120K +;,3,-37,1,income_Category == $120K +
36,income_Category == $40K - $60K;,3,-39,1,income_Category == $40K - $60K
36,income_Category == Less than $40K;,3,-39,1,income_Category == Less than $40K
37,income_Category == $120K +,10,23,1,income_Category == $120K +
37,education_Level == High School,4,49,1,education_Level == High School
37,marital_Status == Married;,3,46,1,marital_Status == Married
37,income_Category == $60K - $80K,6,-2,1,income_Category == $60K - $80K
37,marital_Status == Single;,4,-10,1,marital_Status == Single
37,income_Category == Less than $40K;,4,-12,1,income_Category == Less than $40K
37,income_Category == Unknown;,4,-26,1,income_Category == Unknown
37,income_Category == $40K - $60K,5,-32,1,income_Category == $40K - $60K
37,gender == F;,3,-46,1,gender == F
38,income_Category == $80K - $120K;,5,55,1,income_Category == $80K - $120K
38,income_Category == Unknown;,3,27,1,income_Category == Unknown
38,income_Category == $60K - $80K,7,-10,1,income_Category == $60K - $80K
38,marital_Status == Married;,4,-12,1,marital_Status == Married
38,income_Category == $40K - $60K;,7,-19,1,income_Category == $40K - $60K
38,income_Category == Less than $40K,7,-25,1,income_Category == Less than $40K
38,education_Level == Unknown;,3,-15,1,education_Level == Unknown
39,income_Category == $120K +,9,50,1,income_Category == $120K +
39,income_Category == $80K - $120K,8,11,1,income_Category == $80K - $120K
39,education_Level == Graduate;,3,58,1,education_Level == Graduate
39,income_Category == Unknown;,4,-47,1,income_Category == Unknown
39,income_Category == Less than $40K,7,-60,1,income_Category == Less than $40K
39,card_Category == Blue;,5,-80,1,card_Category == Blue
40,income_Category == $80K - $120K;,5,37,1,income_Category == $80K - $120K
40,income_Category == $60K - $80K;,3,20,1,income_Category == $60K - $80K
40,income_Category == Unknown;,8,2,1,income_Category == Unknown
40,income_Category == $40K - $60K;,6,-14,1,income_Category == $40K - $60K
40,income_Category == Less than $40K,7,-24,1,income_Category == Less than $40K
41,income_Category == $80K - $120K,7,30,1,income_Category == $80K - $120K
41,education_Level == Graduate;,3,60,1,education_Level == Graduate
41,income_Category == $60K - $80K;,7,-2,1,income_Category == $60K - $80K
41,income_Category == Less than $40K,7,-20,1,income_Category == Less than $40K
41,income_Category == $40K - $60K,7,-21,1,income_Category == $40K - $60K
42,income_Category == $80K - $120K,12,33,1,income_Category == $80K - $120K
42,education_Level == Graduate,5,31,1,education_Level == Graduate
42,card_Category == Blue;,4,29,1,card_Category == Blue
42,income_Category == $60K - $80K,5,10,1,income_Category == $60K - $80K
42,marital_Status == Married;,3,32,1,marital_Status == Married
42,income_Category == $40K - $60K;,4,-31,1,income_Category == $40K - $60K
42,income_Category == Less than $40K,7,-50,1,income_Category == Less than $40K
42,attrition_Flag == Existing Customer,6,-43,1,attrition_Flag == Existing Customer
42,marital_Status == Married;,5,-36,1,marital_Status == Married
43,card_Category == Silver,8,46,1,card_Category == Silver
43,marital_Status == Married;,4,70,1,marital_Status == Married
43,card_Category == Blue,21,-19,1,card_Category == Blue
43,education_Level == College;,3,9,1,education_Level == College
43,education_Level == Graduate,8,-4,1,education_Level == Graduate
43,income_Category == $80K - $120K;,3,30,1,income_Category == $80K - $120K
43,education_Level == Unknown;,4,-35,1,education_Level == Unknown
43,education_Level == High School;,4,-69,1,education_Level == High School
44,income_Category == $80K - $120K,8,32,1,income_Category == $80K - $120K
44,education_Level == Graduate;,3,16,1,education_Level == Graduate
44,income_Category == $40K - $60K;,3,1,1,income_Category == $40K - $60K
44,income_Category == $60K - $80K;,5,-4,1,income_Category == $60K - $80K
44,income_Category == Unknown;,3,-20,1,income_Category == Unknown
44,income_Category == Less than $40K,9,-22,1,income_Category == Less than $40K
44,education_Level == Graduate;,3,-8,1,education_Level == Graduate
45,income_Category == $80K - $120K;,4,34,1,income_Category == $80K - $120K
45,income_Category == $60K - $80K,8,24,1,income_Category == $60K - $80K
45,education_Level == Graduate;,3,78,1,education_Level == Graduate
45,income_Category == Less than $40K;,3,-58,1,income_Category == Less than $40K
45,income_Category == $40K - $60K;,3,-66,1,income_Category == $40K - $60K
46,income_Category == $80K - $120K,10,47,1,income_Category == $80K - $120K
46,income_Category == Less than $40K;,3,-9,1,income_Category == Less than $40K
46,card_Category == Blue,9,-54,1,card_Category == Blue
47,income_Category == Unknown,9,22,1,income_Category == Unknown
47,income_Category == $80K - $120K;,3,20,1,income_Category == $80K - $120K
47,income_Category == $60K - $80K,4,14,1,income_Category == $60K - $80K
47,attrition_Flag == Existing Customer;,3,24,1,attrition_Flag == Existing Customer
47,income_Category == $40K - $60K,6,-29,1,income_Category == $40K - $60K
47,marital_Status == Single;,4,-44,1,marital_Status == Single
47,income_Category == Less than $40K,6,-40,1,income_Category == Less than $40K
48,income_Category == $60K - $80K;,4,47,1,income_Category == $60K - $80K
48,marital_Status == Married;,4,-7,1,marital_Status == Married
49,education_Level == Unknown;,3,65,1,education_Level == Unknown
49,education_Level == Graduate;,4,55,1,education_Level == Graduate
49,education_Level == High School;,4,50,1,education_Level == High School
49,marital_Status == Married;,4,-13,1,marital_Status == Married
49,marital_Status == Unknown;,3,-35,1,marital_Status == Unknown
49,card_Category == Blue,6,-83,1,card_Category == Blue
49,marital_Status == Unknown;,3,-93,1,marital_Status == Unknown
50,card_Category == Gold;,5,72,1,card_Category == Gold
50,card_Category == Silver;,5,44,1,card_Category == Silver
50,card_Category == Blue,20,-29,1,card_Category == Blue
50,income_Category == $120K +;,3,43,1,income_Category == $120K +
50,income_Category == $80K - $120K;,3,34,1,income_Category == $80K - $120K
50,income_Category == Less than $40K;,3,-43,1,income_Category == Less than $40K
50,income_Category == $80K - $120K;,3,-51,1,income_Category == $80K - $120K
